trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-09-24,2021-11-05,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4452.18,4696.4,4310,4170,3575,20.0,18.68,18.68,6.34,282.1,140.0,WIN,expiration,795,-795,-525.0,615.0,280.0,177.5,160.0,150.0,132.5
2021-10-01,2021-11-12,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4309.7,4682.96,4150,3980,3400,1970.0,22.91,22.91,7.77,334.9,-325.0,LOSS,expiration,430,-345,420.0,-210.0,-305.0,-325.0,-315.0,-305.0,-312.5
2021-10-08,2021-11-19,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4398.49,4697.95,4255,4110,3580,130.0,18.92,18.92,6.42,282.3,-45.0,LOSS,expiration,310,-62.5,130.0,105.0,-30.0,-60.0,-55.0,-42.5,-32.5
2021-10-15,2021-11-26,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4465.65,4596.63,4350,4225,3710,90.0,15.9,15.9,5.39,240.9,25.0,WIN,expiration,195,-110,85.0,110.0,80.0,30.0,25.0,35.0,22.5
2021-10-22,2021-12-03,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4552.15,4577.1,4430,4310,3775,-140.0,15.06,15.06,5.11,232.6,220.0,WIN,expiration,1290,-215,225.0,405.0,260.0,250.0,200.0,380.0,330.0
2021-10-29,2021-12-10,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4585.1,4711.65,4450,4310,3750,100.0,17.06,17.06,5.79,265.3,0.0,LOSS,expiration,1090,0,200.0,190.0,150.0,440.0,810.0,915.0,97.5
2021-11-05,2021-12-17,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4713.96,4620.26,4595,4465,3910,110.0,15.07,15.07,5.11,241.0,-40.0,LOSS,expiration,2030,-935,80.0,295.0,-225.0,785.0,850.0,620.0,1205.0
2021-11-12,2021-12-31,SPX,49,BWB 1-2-2 puts (+1/-2/+2),4653.64,4766.1,4510,4360,3745,140.0,17.08,17.08,6.26,291.2,-15.0,LOSS,expiration,1720,-505,150.0,475.0,580.0,1325.0,15.0,15.0,10.0
2021-11-19,2021-12-31,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4710.65,4766.1,4575,4430,3800,140.0,17.87,17.87,6.06,285.6,-45.0,LOSS,expiration,2010,-1360,-60.0,510.0,905.0,1840.0,55.0,55.0,5.0
2021-11-26,2022-01-07,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4624.37,4676.51,4450,4250,3500,1130.0,25.77,25.77,8.74,404.2,-425.0,LOSS,expiration,1260,-435,185.0,290.0,-295.0,-362.5,-422.5,-400.0,-415.0
2021-12-03,2022-01-14,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4577.1,4661.92,4375,4170,3350,1280.0,28.99,28.99,9.83,450.1,-230.0,LOSS,expiration,765,-245,290.0,-90.0,-235.0,-190.0,-132.5,-10.0,-142.5
2021-12-10,2022-01-21,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4687.31,4397.87,4540,4385,3730,230.0,20.18,20.18,6.85,320.9,14143.0,WIN,expiration,13875,-400,345.0,190.0,535.0,890.0,715.0,1510.0,1510.0
2021-12-17,2022-01-28,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4624.26,4431.8,4460,4290,3600,370.0,22.2,22.2,7.53,348.2,2605.0,WIN,expiration,11425,-275,20.0,260.0,365.0,930.0,1605.0,2995.0,3340.0
2021-12-31,2022-02-11,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4775.22,4416.86,4640,4490,3875,280.0,17.72,17.72,6.01,287.0,7516.0,WIN,expiration,11900,-5860,205.0,-10.0,-3820.0,2785.0,4020.0,5945.0,7030.0
2022-01-07,2022-02-18,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4703.29,4348.67,4555,4395,3790,320.0,19.15,19.15,6.5,305.5,11152.0,WIN,expiration,13225,-2650,250.0,-1470.0,1915.0,3300.0,3235.0,4970.0,5620.0
2022-01-14,2022-02-25,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4659.03,4288.7,4500,4350,3750,190.0,20.24,20.24,6.87,319.9,8860.0,WIN,expiration,12310,-3455,-1365.0,490.0,1225.0,1780.0,2895.0,4875.0,4875.0
2022-01-21,2022-03-04,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4450.74,4363.49,4275,4075,3350,1160.0,27.11,27.11,9.2,409.3,-770.0,LOSS,expiration,3550,-765,-275.0,-25.0,835.0,1485.0,2280.0,1575.0,1090.0
2022-01-28,2022-03-11,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4297.45,4203.91,4090,3900,3000,560.0,31.85,31.85,10.8,464.3,280.0,WIN,expiration,2310,-175,360.0,810.0,1320.0,770.0,710.0,1150.0,2000.0
2022-02-04,2022-03-18,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4484.16,4462.85,4300,4120,3470,310.0,24.54,24.54,8.32,373.3,-185.0,LOSS,expiration,5795,-275,300.0,625.0,1050.0,1895.0,3300.0,5020.0,5520.0
2022-02-11,2022-03-25,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4503.19,4543.05,4320,4140,3500,520.0,24.25,24.25,8.23,370.4,-185.0,LOSS,expiration,3060,-645,235.0,380.0,1885.0,2945.0,1220.0,615.0,140.0
2022-02-18,2022-04-01,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4392.71,4544.79,4200,4000,3350,940.0,27.85,27.85,9.45,415.0,-725.0,LOSS,expiration,1820,-720,160.0,1075.0,230.0,-330.0,-635.0,-705.0,-712.5
2022-02-25,2022-04-08,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4288.7,4489.24,4090,3900,3200,970.0,29.85,29.85,10.13,434.3,-310.0,LOSS,expiration,945,-320,450.0,255.0,-225.0,-272.5,-312.5,-302.5,-305.0
2022-03-04,2022-04-22,SPX,49,BWB 1-2-2 puts (+1/-2/+2),4363.49,4272.28,4125,3900,3100,460.0,32.94,32.94,12.07,526.6,-300.0,LOSS,expiration,1060,-300,315.0,-190.0,-130.0,-135.0,-215.0,-215.0,-280.0
2022-03-11,2022-04-22,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4274.69,4272.28,4075,3890,3200,1110.0,29.79,29.79,10.11,432.0,-300.0,LOSS,expiration,325,-337.5,30.0,-337.5,-220.0,-220.0,-260.0,-260.0,-285.0
2022-03-18,2022-04-29,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4407.41,4132.17,4230,4050,3390,370.0,25.55,25.55,8.67,382.0,9528.0,WIN,expiration,9300,-137.5,15.0,230.0,730.0,405.0,455.0,3800.0,2990.0
2022-03-25,2022-05-06,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4525.13,4146.87,4360,4200,3600,380.0,21.59,21.59,7.32,331.4,10622.0,WIN,expiration,9790,-60,430.0,1320.0,1740.0,2145.0,3000.0,2210.0,4300.0
2022-04-01,2022-05-13,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4537.52,4023.56,4380,4225,3650,630.0,20.2,20.2,6.85,310.9,-4879.0,LOSS,expiration,3095,-20625,65.0,870.0,1210.0,515.0,170.0,-3305.0,-3485.0
2022-04-08,2022-05-20,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4476.48,3901.55,4315,4150,3550,430.0,22.27,22.27,7.55,338.2,-8690.0,LOSS,expiration,6845,-15560,475.0,535.0,315.0,-850.0,-6485.0,-980.0,4745.0
2022-04-22,2022-06-03,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4355.15,4108.23,4190,4025,3450,600.0,23.9,23.9,8.11,353.1,7692.0,WIN,expiration,8170,-4910,-120.0,-2735.0,-1310.0,-110.0,4955.0,5270.0,5270.0
2022-04-29,2022-06-10,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4267.85,3900.16,4080,3900,3200,1030.0,28.98,28.98,9.83,419.6,17424.0,WIN,expiration,17330,-2910,-595.0,570.0,2230.0,2205.0,1055.0,1095.0,2570.0
2022-05-06,2022-06-17,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4146.87,3673.63,3915,3695,2900,1160.0,35.09,35.09,11.9,493.6,18843.0,WIN,expiration,18780,-420,1280.0,620.0,-160.0,350.0,1425.0,6770.0,7920.0
2022-05-13,2022-06-24,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3993.95,3912.21,3810,3640,3050,980.0,29.71,29.71,10.08,402.5,-560.0,LOSS,expiration,5925,-555,405.0,-105.0,615.0,2595.0,4105.0,4490.0,4490.0
2022-05-20,2022-07-01,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3933.8,3825.03,3760,3600,3050,740.0,28.22,28.22,9.57,376.6,-610.0,LOSS,expiration,3160,-605,-160.0,325.0,2005.0,2235.0,2215.0,145.0,-360.0
2022-05-27,2022-07-08,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4115.44,3899.18,3950,3790,3250,710.0,26.13,26.13,8.86,364.8,4642.0,WIN,expiration,8040,-2915,330.0,-1715.0,2340.0,2955.0,3120.0,6045.0,6045.0
2022-06-03,2022-07-15,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4134.22,3861.56,3965,3810,3280,440.0,25.29,25.29,8.58,354.7,10034.0,WIN,expiration,11385,-3730,-1590.0,255.0,2870.0,1305.0,3955.0,5680.0,6330.0
2022-06-10,2022-07-22,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3935.06,3962.24,3750,3600,3100,1060.0,27.92,27.92,9.47,372.7,-480.0,LOSS,expiration,2940,-900,190.0,800.0,630.0,1105.0,1840.0,-40.0,-65.0
2022-06-17,2022-07-29,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3698.69,4130.48,3525,3360,2750,680.0,31.44,31.44,10.66,394.5,-540.0,LOSS,expiration,580,-540,130.0,-125.0,65.0,-392.5,-515.0,-537.5,-532.5
2022-06-24,2022-08-05,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3852.1,4144.66,3680,3525,2950,1310.0,28.4,28.4,9.63,371.1,-375.0,LOSS,expiration,1180,-1475,310.0,1045.0,-115.0,-55.0,-355.0,-367.5,-360.0
2022-07-01,2022-08-12,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3800.64,4279.35,3640,3475,2950,1880.0,27.94,27.94,9.48,360.2,-710.0,LOSS,expiration,785,-710,460.0,-370.0,-637.5,-657.5,-700.0,-700.0,-700.0
2022-07-08,2022-08-19,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3874.9,4228.37,3715,3565,3090,410.0,25.76,25.76,8.74,338.6,-335.0,LOSS,expiration,580,-345,400.0,-90.0,-282.5,-285.0,-335.0,-325.0,-330.0
2022-07-15,2022-08-26,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3826.81,4058.29,3670,3525,3050,1680.0,25.31,25.31,8.59,328.6,-450.0,LOSS,expiration,220,-460,115.0,-340.0,-425.0,-450.0,-445.0,-442.5,-445.0
2022-07-22,2022-09-02,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3991.17,3925.29,3840,3690,3200,380.0,23.25,23.25,7.89,314.8,-280.0,LOSS,expiration,325,-285,235.0,-95.0,-252.5,-115.0,-240.0,60.0,-72.5
2022-07-29,2022-09-09,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4102.69,4067.62,3970,3825,3350,750.0,21.72,21.72,7.37,302.3,-340.0,LOSS,expiration,4930,-337.5,115.0,-135.0,5.0,1470.0,2595.0,4265.0,4265.0
2022-08-05,2022-09-16,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4131.1,3872.56,3990,3845,3370,320.0,21.7,21.7,7.36,304.1,11504.0,WIN,expiration,11870,-25,130.0,320.0,1830.0,2420.0,2165.0,450.0,2300.0
2022-08-12,2022-09-23,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4234.43,3695.23,4100,3960,3450,710.0,19.84,19.84,6.73,285.0,-12747.0,LOSS,expiration,4025,-17360,365.0,165.0,2080.0,2625.0,1860.0,770.0,250.0
2022-08-19,2022-09-30,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4237.6,3589.7,4095,3955,3455,520.0,20.72,20.72,7.03,297.8,-22985.0,LOSS,expiration,1165,-22740,-615.0,730.0,-110.0,-1375.0,-6085.0,-11250.0,-11645.0
2022-08-26,2022-10-07,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4197.3,3640.38,4050,3910,3400,840.0,22.06,22.06,7.48,314.1,-13307.0,LOSS,expiration,1190,-17415,-1265.0,-645.0,-4205.0,-7365.0,-11750.0,-14580.0,-615.0
2022-09-02,2022-10-14,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3983.57,3585.73,3830,3690,3200,510.0,24.16,24.16,8.2,326.5,3348.0,WIN,expiration,9210,-2610,400.0,350.0,-885.0,1735.0,2490.0,1825.0,-315.0
2022-09-09,2022-10-21,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4045.35,3752.75,3900,3760,3300,750.0,22.91,22.91,7.77,314.4,12890.0,WIN,expiration,13025,-8010,-255.0,-2575.0,195.0,-5285.0,15.0,1430.0,4655.0
2022-09-16,2022-10-28,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3840.48,3900.55,3680,3520,3000,1200.0,28.34,28.34,9.61,369.2,-720.0,LOSS,expiration,3200,-705,-125.0,790.0,1810.0,1550.0,3200.0,645.0,-247.5
2022-09-23,2022-11-04,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3691.77,3770.42,3530,3400,2850,40.0,29.13,29.13,9.88,364.8,70.0,WIN,expiration,1155,-650,250.0,635.0,1155.0,305.0,240.0,100.0,80.0
2022-09-30,2022-11-11,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3643.29,3992.21,3480,3325,2750,500.0,31.01,31.01,10.52,383.2,-360.0,LOSS,expiration,740,-365,325.0,740.0,-15.0,-267.5,-125.0,-315.0,-337.5
2022-10-07,2022-11-18,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3667.11,3967.12,3500,3335,2750,870.0,31.61,31.61,10.72,393.2,-590.0,LOSS,expiration,605,-577.5,390.0,15.0,195.0,-440.0,-565.0,-570.0,-577.5
2022-10-14,2022-11-25,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3677.16,4026.98,3510,3360,2850,1850.0,31.65,31.65,10.74,394.8,-550.0,LOSS,expiration,620,-547.5,-35.0,475.0,-512.5,-535.0,-532.5,-537.5,-542.5
2022-10-21,2022-12-02,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3700.91,4071.55,3540,3400,2900,500.0,29.38,29.38,9.97,368.8,-415.0,LOSS,expiration,705,-420,125.0,-280.0,-382.5,-385.0,-400.0,-410.0,-400.0
2022-10-28,2022-12-09,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3835.58,3934.36,3690,3540,3100,1280.0,27.39,27.39,9.29,356.4,-825.0,LOSS,expiration,620,-830,455.0,-310.0,-747.5,-707.5,-825.0,-825.0,-815.0
2022-11-04,2022-12-16,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3759.4,3851.02,3615,3480,3080,1090.0,24.72,24.72,8.39,315.2,-515.0,LOSS,expiration,150,-525,-235.0,-415.0,-485.0,-470.0,-470.0,-475.0,-500.0
2022-11-11,2022-12-23,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3959.27,3844.45,3820,3680,3250,1080.0,23.43,23.43,7.95,314.7,-590.0,LOSS,expiration,4380,-575,80.0,-105.0,595.0,-435.0,630.0,1540.0,2095.0
2022-11-18,2022-12-30,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3962.7,3839.85,3830,3695,3245,820.0,23.6,23.6,8.01,317.2,-455.0,LOSS,expiration,4190,-442.5,480.0,655.0,1105.0,2285.0,2185.0,2305.0,2305.0
2022-11-25,2023-01-06,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4029.54,3894.2,3910,3780,3350,550.0,20.97,20.97,7.11,286.6,1100.0,WIN,expiration,7640,-60,295.0,1425.0,2490.0,3105.0,3770.0,4480.0,4480.0
2022-12-02,2023-01-13,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4033.69,3998.63,3910,3780,3350,630.0,19.88,19.88,6.74,272.0,-500.0,LOSS,expiration,3195,-510,385.0,570.0,1715.0,1865.0,2765.0,2150.0,2975.0
2022-12-09,2023-01-20,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3957.58,3971.78,3825,3685,3240,2810.0,22.86,22.86,7.75,306.9,-655.0,LOSS,expiration,2250,-655,860.0,1215.0,2140.0,1130.0,-420.0,-585.0,-585.0
2022-12-16,2023-01-27,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3876.13,4070.02,3755,3630,3200,680.0,22.41,22.41,7.6,294.7,-555.0,LOSS,expiration,875,-547.5,250.0,790.0,-360.0,-460.0,-315.0,-520.0,-530.0
2022-12-23,2023-02-03,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3799.89,4136.52,3670,3540,3150,2140.0,22.49,22.49,7.63,289.9,-610.0,LOSS,expiration,460,-610,320.0,-385.0,-300.0,-525.0,-585.0,-592.5,-605.0
2022-12-30,2023-02-10,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3818.57,4090.49,3690,3570,3200,500.0,22.03,22.03,7.47,285.4,-395.0,LOSS,expiration,395,-390,135.0,70.0,-332.5,-340.0,-380.0,-385.0,-387.5
2023-01-06,2023-02-17,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3821.08,4078.98,3700,3580,3210,2640.0,21.85,21.85,7.41,283.2,-515.0,LOSS,expiration,110,-517.5,-245.0,-355.0,-480.0,-482.5,-485.0,-502.5,-510.0
2023-01-13,2023-02-24,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3961.6,3970.42,3850,3740,3350,1810.0,18.7,18.7,6.34,251.3,-235.0,LOSS,expiration,260,-230,165.0,-120.0,50.0,-180.0,-125.0,-127.5,-127.5
2023-01-20,2023-03-03,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3910.21,4045.32,3800,3680,3250,1760.0,20.23,20.23,6.86,268.3,-395.0,LOSS,expiration,25,-392.5,-105.0,-145.0,-260.0,-185.0,-280.0,-365.0,-355.0
2023-01-27,2023-03-10,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4061.85,3861.68,3960,3840,3450,2100.0,18.38,18.38,6.23,253.2,9437.0,WIN,expiration,9445,-95,30.0,255.0,915.0,1655.0,1830.0,180.0,295.0
2023-02-03,2023-03-17,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4149.73,3916.47,4040,3910,3440,430.0,18.46,18.46,6.26,259.9,12053.0,WIN,expiration,12055,-290,345.0,790.0,2155.0,1865.0,2480.0,1765.0,5125.0
2023-02-10,2023-03-24,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4073.56,3971.35,3940,3800,3350,1990.0,21.31,21.31,7.23,294.5,-340.0,LOSS,expiration,2495,-327.5,425.0,1295.0,1575.0,1905.0,1685.0,2495.0,1435.0
2023-02-17,2023-03-31,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4054.66,4108.9,3930,3795,3330,360.0,21.02,21.02,7.13,289.1,-280.0,LOSS,expiration,1780,-262.5,595.0,690.0,810.0,835.0,1660.0,850.0,1175.0
2023-02-24,2023-04-14,SPX,49,BWB 1-2-2 puts (+1/-2/+2),3951.24,4137.47,3820,3675,3200,1700.0,22.76,22.76,8.34,329.5,-600.0,LOSS,expiration,440,-602.5,90.0,350.0,-290.0,-537.5,-567.5,-567.5,-582.5
2023-03-03,2023-04-14,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4009.72,4137.47,3895,3780,3425,1380.0,19.21,19.21,6.52,261.3,-285.0,LOSS,expiration,660,-410,-310.0,190.0,180.0,-170.0,-170.0,-170.0,-265.0
2023-03-10,2023-04-21,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3894.8,4133.56,3770,3635,3170,720.0,23.36,23.36,7.92,308.6,-585.0,LOSS,expiration,115,-585,-165.0,-345.0,-515.0,-555.0,-575.0,-572.5,-575.0
2023-03-17,2023-04-28,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3942.35,4169.77,3815,3670,3140,2000.0,24.02,24.02,8.15,321.2,-360.0,LOSS,expiration,495,-365,315.0,-90.0,-312.5,-335.0,-337.5,-350.0,-340.0
2023-03-24,2023-05-05,SPX,42,BWB 1-2-2 puts (+1/-2/+2),3931.04,4135.77,3795,3640,3100,580.0,24.09,24.09,8.17,321.2,-465.0,LOSS,expiration,395,-475,-70.0,-310.0,-380.0,-397.5,-460.0,-455.0,-462.5
2023-03-31,2023-05-12,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4070.21,4123.85,3960,3830,3400,1170.0,18.88,18.88,6.4,260.7,-390.0,LOSS,expiration,630,-387.5,150.0,115.0,90.0,-132.5,560.0,-280.0,-332.5
2023-04-14,2023-05-26,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4160.54,4205.01,4060,3945,3525,650.0,17.55,17.55,5.95,247.7,-140.0,LOSS,expiration,845,-160,-10.0,250.0,575.0,615.0,5.0,-5.0,-17.5
2023-04-21,2023-06-02,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4121.67,4281.67,4020,3900,3450,220.0,17.35,17.35,5.89,242.6,-150.0,LOSS,expiration,605,-245,95.0,345.0,50.0,100.0,215.0,-110.0,-110.0
2023-04-28,2023-06-09,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4136.61,4299.44,4040,3925,3500,670.0,16.54,16.54,5.61,232.1,-85.0,LOSS,expiration,505,-430,145.0,180.0,435.0,80.0,-30.0,-77.5,-77.5
2023-05-05,2023-06-16,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4111.5,4409.77,4000,3870,3400,160.0,17.97,17.97,6.1,250.6,-95.0,LOSS,expiration,370,-105,300.0,305.0,60.0,-65.0,-100.0,-92.5,-92.5
2023-05-12,2023-06-23,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4139.03,4348.23,4040,3920,3450,540.0,16.54,16.54,5.61,232.2,20.0,WIN,expiration,450,-80,50.0,290.0,75.0,32.5,30.0,25.0,25.0
2023-05-19,2023-06-30,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4211.3,4449.81,4125,4010,3545,120.0,16.03,16.03,5.44,229.0,-55.0,LOSS,expiration,350,-495,160.0,185.0,-25.0,-35.0,-50.0,-52.5,-45.0
2023-05-26,2023-07-07,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4175.04,4398.76,4075,3940,3450,590.0,18.23,18.23,6.18,258.2,-195.0,LOSS,expiration,345,-205,20.0,-155.0,-177.5,-172.5,-190.0,-190.0,-192.5
2023-06-02,2023-07-14,SPX,42,BWB 1-2-2 puts (+1/-2/+2),4246.63,4506.04,4170,4060,3600,250.0,15.13,15.13,5.13,218.0,-155.0,LOSS,expiration,155,-162.5,35.0,-10.0,-102.5,-145.0,-125.0,-142.5,-160.0
